Country,Value
Australia,416563.532777418
Austria,67962.4156165222
Belarus,61022.4552604652
Belgium,99745.7818297321
Bulgaria,42222.5191984892
Canada,582389.608113422
Croatia,17778.8377398237
Cyprus,7339.88216064505
Czechia,100812.344554473
Denmark,32540.4996844821
Estonia,12380.3170249403
European Union,3288082.1122577
Finland,42546.0422948966
France,332503.415861621
Germany,711427.808697288
Greece,65735.9231900982
Hungary,49079.7124877549
Iceland,3550.74733703233
Ireland,37275.3185749905
Italy,339772.170820425
Japan,1105881.13611215
Latvia,7648.18371582691
Liechtenstein,148.400305736546
Lithuania,13923.0950371299
Luxembourg,9752.15994936606
Malta,1669.14529679386
Monaco,71.3419202640254
Netherlands,153285.977878245
New Zealand,37494.501955531
Norway,42218.271542817
Poland,319520.974607224
Portugal,47629.0835767154
Romania,74846.2697816821
Russian Federation,1679449.32732954
Slovakia,33773.4509063527
Slovenia,14005.90061048
Spain,251498.498982227
Sweden,40936.8665746849
Switzerland,36741.8645028051
Turkey,399344.914409159
Ukraine,222579.323069088
United Kingdom,369729.950852467
United States of America,5255816.20680457
